group,method,n,bias_cm,mae_cm,rmse_cm
back,corrected_horizon,41,-1.3267065221199974,2.464790984441721,3.065454663882872
back,per_image_cube_horizon,41,-1.2236005959547103,2.4767773812688056,3.065242908448019
back,shared_front_back_horizon,41,-1.3267065221199974,2.464790984441721,3.065454663882872
front,corrected_horizon,41,-1.6512327585940805,2.13960487660334,2.685669617603967
front,per_image_cube_horizon,41,1.9685267629976184,5.831448234193787,23.53908330354581
front,shared_front_back_horizon,41,-1.6512327585940805,2.13960487660334,2.685669617603967
left,corrected_horizon,41,0.3822257473728625,5.276187488544145,6.4355578122381845
left,per_image_cube_horizon,41,23.501334819633957,26.426219071740018,71.95164910787294
left,shared_front_back_horizon,41,28.12548884154495,37.82440235265257,40.724818093894925
right,corrected_horizon,41,0.04874335081797753,5.706013103278626,6.660056437710936
right,per_image_cube_horizon,41,28.70911188417295,32.95407251816491,81.69326367418374
right,shared_front_back_horizon,41,28.027016234737236,37.81692047758679,41.005833829260276
GLOBAL,corrected_horizon,164,-0.6367425456308095,3.8966491132169576,5.0592141113862015
GLOBAL,per_image_cube_horizon,164,13.238843217712457,16.92212930134188,55.70976865851544
GLOBAL,shared_front_back_horizon,164,13.293641448892028,20.061429672821106,28.968081790157335
FRONT+BACK,corrected_horizon,82,-1.488969640357039,2.30219793052253,2.8818252541785294
LEFT+RIGHT,corrected_horizon,82,0.21548454909542003,5.491100295911386,6.548769201466594
