fold,method,n_train_images,n_test_images,n_train_subjects,n_test_subjects,ridge_alpha,n,bias_cm,mae_cm,rmse_cm,r2
1,baseline_mean,64,18,32,9,,18,-4.604166666666667,12.979166666666666,17.278326681616676,-0.07643391087224782
1,initial_height_raw,64,18,32,9,,18,-12.664229177051787,17.04982718740131,18.202150425833022,-0.19461897099527237
1,calibrated_initial_height,64,18,32,9,,18,-4.86254097718322,10.75516753772986,12.842980083866218,0.40527577765485934
1,calibrated_segment_sum,64,18,32,9,,18,-4.974529200363678,10.762349469764189,12.916396865600785,0.3984568716117609
1,ridge_segments_cm,64,18,32,9,10.0,18,-4.00970374258477,10.183588817756995,11.864298815498568,0.4924624701728443
1,ridge_initial_plus_ratios,64,18,32,9,10.0,18,-3.4532728965961947,9.42498771891351,10.68172049289413,0.5885979719420733
2,baseline_mean,66,16,33,8,,16,2.886363636363626,13.5,18.14059246665671,-0.025973795919944642
2,initial_height_raw,66,16,33,8,,16,-6.180122040278047,22.143221906617512,25.09520490818206,-0.9634273090682615
2,calibrated_initial_height,66,16,33,8,,16,2.905616965147656,12.897919353891337,15.592524203495943,0.24200526566919167
2,calibrated_segment_sum,66,16,33,8,,16,2.8736155124526714,13.032556316990279,15.668174519198748,0.234632290681001
2,ridge_segments_cm,66,16,33,8,1.0,16,2.946558567326665,12.396573059327668,14.977809782872754,0.30059302917562347
2,ridge_initial_plus_ratios,66,16,33,8,10.0,16,2.951032126859749,10.924122484654115,14.182826634272084,0.3728680550652608
3,baseline_mean,66,16,33,8,,16,-3.636363636363626,11.340909090909093,13.880224799903916,-0.07369217970528852
3,initial_height_raw,66,16,33,8,,16,-9.27290081607317,20.150709090721634,22.2228066767418,-1.7522292530370738
3,calibrated_initial_height,66,16,33,8,,16,-2.4753129625312997,6.110908202348691,8.856446951602026,0.5628748026107095
3,calibrated_segment_sum,66,16,33,8,,16,-2.3182605342516087,6.037395517505141,8.730339658051506,0.575234660843208
3,ridge_segments_cm,66,16,33,8,1.0,16,-2.2752076688179432,4.996511569060109,7.147642165657499,0.7152836584978891
3,ridge_initial_plus_ratios,66,16,33,8,0.01,16,-3.2409171128771987,7.9457351528594735,10.032001124671076,0.4391303570022892
4,baseline_mean,66,16,33,8,,16,8.912121212121214,16.8530303030303,22.09656997136752,-0.1942749279950613
4,initial_height_raw,66,16,33,8,,16,-12.346104567597646,16.745625606802054,17.695005487691198,0.23412835523246878
4,calibrated_initial_height,66,16,33,8,,16,4.308080900247196,12.21298040341203,15.212110044463534,0.43397774882166074
4,calibrated_segment_sum,66,16,33,8,,16,4.276119693816945,12.149933661283502,15.19259598199389,0.4354290016764888
4,ridge_segments_cm,66,16,33,8,10.0,16,4.031091819777453,11.567728615918556,14.864600201255938,0.45954311571810436
4,ridge_initial_plus_ratios,66,16,33,8,10.0,16,3.164588433563048,11.161289030424783,14.240048027959338,0.5040047749663037
5,baseline_mean,66,16,33,8,,16,-3.1393939393939334,8.984848484848484,10.318105170364538,-0.10201893545225116
5,initial_height_raw,66,16,33,8,,16,-1.7148033269744865,21.185026897301572,23.697777693482212,-4.8130545517656795
5,calibrated_initial_height,66,16,33,8,,16,2.496156666302671,10.216479624275202,13.835087246954647,-0.981312414986901
5,calibrated_segment_sum,66,16,33,8,,16,2.63164146657574,10.407957522750682,14.113440504624945,-1.0618399490473092
5,ridge_segments_cm,66,16,33,8,1.0,16,2.449775772073732,11.082923476531949,14.890247934433242,-1.2950545614873934
5,ridge_initial_plus_ratios,66,16,33,8,10.0,16,1.7095027146487674,9.952212765599139,12.330934571435737,-0.5739145242867167
